,Rank,Site Name,Nomination Year,Country,Rating,State,Latitude,Longitude,,
0,1,Galapagos Islands,1978,Ecuador,4.8,,,,,
1,2,Quito,1978,Ecuador,3.4,,,,,
2,3,Aachen Cathedral,1978,Germany,3.71,,,,,
3,4,L'Anse aux Meadows,1978,Canada,3.39,,,,,
4,8,Ichkeul National Park,1980,Tunisia,2.3,,,,,
5,9,Simien National Park,1978,Ethiopia,3.75,,,,,
6,10,Lower Valley of the Awash,1980,Ethiopia,3.14,,,,,
7,12,Tiya,1980,Ethiopia,2.28,,,,,
8,13,Melka Kunture and Balchit,2024,Ethiopia,1.61,,,,,
9,15,Aksum,1980,Ethiopia,3.42,,,,,
10,17,Lower Valley of the Omo,1980,Ethiopia,3.57,,,,,
11,18,Lalibela,1978,Ethiopia,4.41,,,,,
12,19,Fasil Ghebbi,1979,Ethiopia,3.31,,,,,
13,20,Damascus,1979,Syria,4.15,,,,,
14,21,Aleppo,1986,Syria,3.82,,,,,
15,22,Bosra,1980,Syria,3.31,,,,,
16,23,Palmyra,1980,Syria,4.27,,,,,
17,24,Nahanni National Park,1978,Canada,4.37,,,,,
18,25,Djoudj,1981,Senegal,3.08,,,,,
19,26,Island of Gorée,1978,Senegal,3.07,,,,,
20,27,Mesa Verde,1978,United States of America,4.12,,,,,
21,28,Yellowstone,1978,United States of America,4.81,,,,,
22,29,Kraków,1978,Poland,4.09,,,,,
23,30,Warsaw,1980,Poland,3.27,,,,,
24,31,Auschwitz Birkenau,1979,Poland,4.1,,,,,
25,32,Wieliczka and Bochnia Royal Salt Mines,1978,Poland,3.71,,,,,
26,33,Białowieża Forest,1979,Poland,2.87,,,,,
27,34,Forts and Castles Gold Coast,1979,Ghana,3.13,,,,,
28,35,Asante Traditional Buildings,1980,Ghana,2.04,,,,,
29,36,Medina of Tunis,1979,Tunisia,3.13,,,,,
30,37,Carthage,1979,Tunisia,3.26,,,,,
31,38,Amphitheater of El Jem,1979,Tunisia,3.59,,,,,
32,39,Ngorongoro,1979,Tanzania,4.5,,,,,
33,42,Boyana Church,1979,Bulgaria,2.97,,,,,
34,43,Madara Rider,1979,Bulgaria,2.19,,,,,
35,44,Thracian tomb of Kazanlak,1979,Bulgaria,2.4,,,,,
36,45,Rock-hewn Churches of Ivanovo,1979,Bulgaria,2.9,,,,,
37,55,Røros,1980,Norway,3.14,,,,,
38,58,Urnes Stave Church,1979,Norway,3.59,,,,,
39,59,Bryggen,1979,Norway,3.29,,,,,
40,63,Virunga National Park,1979,Congo (Democratic Republic),4.54,,,,,
41,64,Tikal National Park,1979,Guatemala,4.61,,,,,
42,65,Antigua Guatemala,1979,Guatemala,3.82,,,,,
43,71,Dinosaur Provincial Park,1979,Canada,3.63,,,,,
44,72,Glacier parks,1979,Canada,4.23,,,,,
45,75,Grand Canyon,1979,United States of America,4.5,,,,,
46,76,Everglades,1979,United States of America,3.68,,,,,
47,78,Independence Hall,1979,United States of America,2.96,,,,,
48,79,Paphos,1980,Cyprus,3.42,,,,,
49,80,Mont-Saint-Michel,1979,France,4.23,,,,,
50,81,Chartres Cathedral,1979,France,3.5,,,,,
51,83,Versailles,1979,France,4.04,,,,,
52,84,Vézelay,1979,France,3.18,,,,,
53,85,Vézère Valley,1979,France,3.64,,,,,
54,86,Pyramids (Memphis),1979,Egypt,4.58,,,,,
55,87,Ancient Thebes,1979,Egypt,4.58,,,,,
56,88,Nubian Monuments,1979,Egypt,4.37,,,,,
57,89,Historic Cairo,1979,Egypt,3.7,,,,,
58,90,Abu Mena,1979,Egypt,1.71,,,,,
59,91,Rome,1980,Holy See,4.68,,,,,
60,93,Santa Maria delle Grazie,1980,Italy,3.39,,,,,
61,94,Rock Drawings in Valcamonica,1979,Italy,3.21,,,,,
62,95,Dubrovnik,1979,Croatia,4.15,,,,,
63,96,Stari Ras and Sopocani,1979,Serbia,2.92,,,,,
64,97,Split,1979,Croatia,3.55,,,,,
65,98,Plitvice Lakes,1979,Croatia,4.18,,,,,
66,99,Ohrid Region,1979,North Macedonia,3.52,,,,,
67,100,Durmitor National Park,1980,Montenegro,3.53,,,,,
68,102,Al Qal'a of Beni Hammad,1980,Algeria,2.54,,,,,
69,111,Bale Mountains National Park,2023,Ethiopia,3.95,,,,,
70,113,Tchogha Zanbil,1979,Iran,3.72,,,,,
71,114,Persepolis,1979,Iran,4.56,,,,,
72,115,"Meidan Emam, Esfahan",1979,Iran,4.12,,,,,
73,116,Djenné,1988,Mali,3.99,,,,,
74,119,Timbuktu,1988,Mali,3.78,,,,,
75,120,Sagarmatha National Park,1979,Nepal,4.08,,,,,
76,121,Kathmandu Valley,1979,Nepal,3.94,,,,,
77,124,Ouro Preto,1980,Brazil,3.69,,,,,
78,125,Kotor,1979,Montenegro,3.86,,,,,
79,129,Copán,1980,Honduras,4.04,,,,,
80,130,Hal Saflieni Hypogeum,1980,Malta,3.91,,,,,
81,131,Valletta,1980,Malta,3.79,,,,,
82,132,Megalithic Temples of Malta,1980,Malta,3.62,,,,,
83,134,Redwood,1980,United States of America,4.17,,,,,
84,135,Portobelo-San Lorenzo,1980,Panama,2.76,,,,,
85,136,Garamba National Park,1980,Congo (Democratic Republic),0,,,,,
86,137,Kahuzi-Biega National Park,1980,Congo (Democratic Republic),4.07,,,,,
87,138,Moenjodaro,1980,Pakistan,3.92,,,,,
88,139,Taxila,1980,Pakistan,3.41,,,,,
89,140,Takht-i-Bahi,1980,Pakistan,3.34,,,,,
90,143,"Makli, Thatta",1981,Pakistan,3.41,,,,,
91,144,Ruins of Kilwa Kisiwani and Songo Mnara,1981,Tanzania,3.57,,,,,
92,145,Los Glaciares,1981,Argentina,4.58,,,,,
93,147,Kakadu National Park,1981,Australia,4.15,,,,,
94,148,Old City of Jerusalem,1981,Israel,4.45,,,,,
95,149,Quirigua,1981,Guatemala,3.37,,,,,
96,150,Mammoth Cave,1981,United States of America,3.38,,,,,
97,151,Olympic National Park,1981,United States of America,3.99,,,,,
98,153,Niokolo-Koba National Park,1981,Senegal,2.35,,,,,
99,154,Great Barrier Reef,1981,Australia,4.43,,,,,
100,155,Mount Nimba,1981,Côte d'Ivoire,3.5,,,,,
101,156,Serengeti,1981,Tanzania,4.56,,,,,
102,157,SGang Gwaay,1981,Canada,3.06,,,,,
103,158,Head-Smashed-In Buffalo Jump,1981,Canada,3.19,,,,,
104,159,Darien National Park,1981,Panama,3.74,,,,,
105,160,Fontainebleau,1981,France,3.61,,,,,
106,162,Amiens Cathedral,1981,France,3.6,,,,,
107,163,Orange,1981,France,2.86,,,,,
108,164,Arles,1981,France,3.42,,,,,
109,165,Cistercian Abbey of Fontenay,1981,France,3.13,,,,,
110,166,Sydney Opera House,2007,Australia,3.47,,,,,
111,167,Willandra Lakes,1981,Australia,3.51,,,,,
112,168,Speyer Cathedral,1981,Germany,2.99,,,,,
113,169,Würzburg Residence,1981,Germany,3.36,,,,,
114,170,Medina of Fez,1981,Morocco,3.8,,,,,
115,171,Fort and Shalamar Gardens,1981,Pakistan,3.22,,,,,
116,173,Stone Town of Zanzibar,2000,Tanzania,3.63,,,,,
117,174,Florence,1982,Italy,4.57,,,,,
118,175,Medici Villas and Gardens,2013,Italy,3.12,,,,,
119,179,Tassili n'Ajjer,1982,Algeria,3.83,,,,,
120,180,National History Park,1982,Haiti,4.17,,,,,
121,181,Tasmanian Wilderness,1982,Australia,4.23,,,,,
122,183,Leptis Magna,1982,Libya,4.32,,,,,
123,184,Sabratha,1982,Libya,3.78,,,,,
124,185,Aldabra Atoll,1982,Seychelles,3.62,,,,,
125,186,Lord Howe Island,1982,Australia,3.87,,,,,
126,187,Hildesheim Cathedral and Church,1985,Germany,2.67,,,,,
127,188,M'Zab Valley,1982,Algeria,3.84,,,,,
128,189,Olinda,1982,Brazil,3.36,,,,,
129,190,Cyrene,1982,Libya,3.26,,,,,
130,191,Djémila,1982,Algeria,3.72,,,,,
131,192,Shibam,1982,Yemen,4.33,,,,,
132,193,Tipasa,1982,Algeria,3.12,,,,,
133,194,Timgad,1982,Algeria,3.61,,,,,
134,195,Taï National Park,1982,Côte d'Ivoire,3.5,,,,,
135,196,Rio Platano Biosphere Reserve,1982,Honduras,3.57,,,,,
136,198,Cahokia Mounds,1982,United States of America,2.66,,,,,
137,199,Selous Game Reserve,1982,Tanzania,3.72,,,,,
138,200,Anuradhapura,1982,Sri Lanka,3.52,,,,,
139,201,Polonnaruva,1982,Sri Lanka,3.5,,,,,
140,202,Sigiriya,1982,Sri Lanka,3.81,,,,,
141,203,Royal Saltworks of Arc-et-Senans,1982,France,2.86,,,,,
142,204,Old Havana,1982,Cuba,3.98,,,,,
143,205,Talamanca Range-La Amistad Reserves,1983,Costa Rica,3.15,,,,,
144,206,Angra do Heroismo,1983,Portugal,3.19,,,,,
145,208,Bamiyan Valley,2003,Afghanistan,4.27,,,,,
146,211,Minaret of Jam,2002,Afghanistan,4.26,,,,,
147,216,Rila Monastery,1983,Bulgaria,3.74,,,,,
148,217,Nessebar,1983,Bulgaria,3,,,,,
149,219,Srebarna Nature Reserve,1983,Bulgaria,1.36,,,,,
150,225,Pirin National Park,1983,Bulgaria,2.94,,,,,
151,227,Comoé National Park,1983,Côte d'Ivoire,2.06,,,,,
152,228,Avignon,1995,France,3.65,,,,,
153,229,Nancy,1983,France,2.99,,,,,
154,230,Saint-Savin sur Gartempe,1983,France,3.2,,,,,
1,231,Red Fort,2007,India,3.2,Delhi,28.6563772974477,77.2413589115219,,
2,232,Humayun's Tomb,1993,India,3.4,Delhi,28.5935108635404,77.2511247054366,,
3,233,Qutb Minar,1993,India,3.56,Delhi,28.5248053268723,77.1860141265216,,
4,234,Churches and Convents of Goa,1986,India,3.42,Goa,15.5026271633506,73.9120013302541,,
5,239,Pattadakal,1987,India,3.42,Karnataka,15.949919257918,75.8175090603693,,
6,240,Khajuraho Group of Monuments,1986,India,4.15,Madhya Pradesh,24.8338535118308,79.9217810460199,,
7,241,Hampi,1986,India,4.28,Karnataka,15.3351684351877,76.4597577177258,,
8,242,Ajanta Caves,1983,India,4.01,Maharashtra,20.5523934756956,75.7076651609762,,
9,243,Ellora Caves,1983,India,4.32,Maharashtra,20.0269052944606,75.1774623821301,,
10,244,Elephanta Caves,1987,India,3.13,Maharashtra,18.9636213387431,72.9321086684169,,
11,246,"Sun Temple, Konarak",1984,India,3.84,Odisha,19.8877466162377,86.0955341777005,,
12,247,Hill Forts of Rajasthan,2013,India,3.82,Rajasthan,27.271535805002,68.8675856569446,,
13,249,Mahabalipuram,1984,India,4.04,Tamil Nadu,12.6216562095776,80.195605227014,,
14,250,Chola Temples,1987,India,4.23,Tamil Nadu,13.1799388510659,78.8988652730095,,
15,251,Agra Fort,1983,India,3.68,Uttar Pradesh,27.1796950269882,78.0214767765568,,
16,252,Taj Mahal,1983,India,4.42,Uttar Pradesh,27.1753452114241,78.0423245863424,,
17,255,Fatehpur Sikri,1986,India,3.43,Uttar Pradesh,27.0976415307308,77.6697647006816,,
172,256,Wood Buffalo National Park,1983,Canada,3.01,,,,,
173,258,Gulf of Porto,1983,France,3.39,,,,,
174,259,Great Smoky Mountains,1983,United States of America,3.44,,,,,
175,260,Sangay National Park,1983,Ecuador,2.77,,,,,
176,261,Vallée de Mai,1983,Seychelles,2.95,,,,,
177,262,Sanganeb,2016,Sudan,3.78,,,,,
178,263,Belem,1983,Portugal,3.52,,,,,
179,264,Monastery of Batalha,1983,Portugal,3.65,,,,,
180,265,Convent of Christ in Tomar,1983,Portugal,3.75,,,,,
181,266,La Fortaleza and San Juan,1983,United States of America,3.42,,,,,
182,267,Old City of Berne,1983,Switzerland,3.33,,,,,
183,268,Abbey of St Gall,1983,Switzerland,3.24,,,,,
184,269,Benedictine Convent of St. John,1983,Switzerland,3.11,,,,,
185,271,Pilgrimage Church of Wies,1983,Germany,3.21,,,,,
186,272,Lübeck,1987,Germany,3.22,,,,,
187,273,Cuzco,1983,Peru,3.84,,,,,
188,274,Machu Picchu,1983,Peru,4.76,,,,,
189,275,Jesuit Missions of the Guaranis,1983,Brazil,3.03,,,,,
190,276,Samarra,2007,Iraq,3.18,,,,,
191,277,Hatra,1985,Iraq,3.69,,,,,
192,278,Babylon,2019,Iraq,3.41,,,,,
193,280,Salonga National Park,1984,Congo (Democratic Republic),0,,,,,
194,284,Chitwan National Park,1984,Nepal,3.44,,,,,
195,285,Cartagena,1984,Colombia,3.51,,,,,
196,286,Vatican City,1984,Holy See,4.35,,,,,
197,287,Tadrart Acacus,1985,Libya,4.2,,,,,
198,288,Castles of Augustusburg and Falkenlust,1984,Germany,2.78,,,,,
199,289,Lake Malawi,1984,Malawi,3.51,,,,,
200,292,Cologne Cathedral,1996,Germany,3.53,,,,,
201,293,Anjar,1984,Lebanon,3.37,,,,,
202,294,Baalbek,1984,Lebanon,4.31,,,,,
203,295,Byblos,1984,Lebanon,3.39,,,,,
204,299,Tyre,1984,Lebanon,2.95,,,,,
205,300,Québec,1985,Canada,3.69,,,,,
206,302,Mana Pools,1984,Zimbabwe,4,,,,,
207,303,Iguazu National Park,1984,Argentina,4.56,,,,,
208,304,Canadian Rocky Mountain Parks,1984,Canada,4.6,,,,,
209,306,Matobo Hills,2003,Zimbabwe,3.57,,,,,
210,307,Statue of Liberty,1984,United States of America,3.35,,,,,
211,308,Yosemite National Park,1984,United States of America,4.33,,,,,
212,309,Salvador de Bahia,1985,Brazil,3.6,,,,,
213,310,Altamira Cave,1985,Spain,3.44,,,,,
214,311,Segovia,1985,Spain,3.9,,,,,
215,312,Asturian Monuments,1985,Spain,3.21,,,,,
216,313,Cordoba,1984,Spain,4.24,,,,,
217,314,Granada,1984,Spain,4.46,,,,,
218,316,Burgos Cathedral,1984,Spain,3.53,,,,,
219,318,El Escurial,1984,Spain,3.31,,,,,
220,320,Works of Antoni Gaudí,1984,Spain,4.15,,,,,
221,321,Bagerhat,1985,Bangladesh,2.43,,,,,
222,322,Buddhist Vihara at Paharpur,1985,Bangladesh,2.84,,,,,
223,323,Royal Palaces of Abomey,1985,Benin,2.85,,,,,
224,326,Petra,1985,Jordan,4.75,,,,,
225,327,Quseir Amra,1985,Jordan,3.08,,,,,
226,330,Chavin,1985,Peru,3.25,,,,,
227,331,Medina of Marrakesh,1985,Morocco,3.84,,,,,
228,332,Kerkuane,1985,Tunisia,3.01,,,,,
229,333,Huascaran National Park,1985,Peru,4.02,,,,,
230,334,Congonhas,1985,Brazil,2.98,,,,,
18,335,Nanda Devi and Valley of Flowers,1988,India,3.54,Uttarakhand,30.6590313197142,79.8390297055048,,
19,337,Kaziranga National Park,1985,India,3.88,Assam,26.6518629148221,93.3867366572095,,
20,338,Manas Wildlife Sanctuary,1985,India,2.35,Assam,26.8102891832284,91.2402449434824,,
21,340,Keoladeo National Park,1985,India,2.94,Rajasthan,27.1598853060221,77.5223813244425,,
235,344,Pont du Gard,1985,France,3.71,,,,,
236,345,Fortified City of Carcassonne,1997,France,3.91,,,,,
237,347,Santiago de Compostela,1985,Spain,3.63,,,,,
238,348,Avila,1985,Spain,3.34,,,,,
239,351,Painted Churches in the Troödos Region,1985,Cyprus,3.58,,,,,
240,352,Rock Art of Alta,1985,Norway,3.34,,,,,
241,353,Chaco Culture,1987,United States of America,3.54,,,,,
242,354,Waterton Glacier International Peace Park,1995,Canada,4.05,,,,,
243,355,Iguacu,1986,Brazil,4.48,,,,,
244,356,Istanbul,1985,Turkiye,4.48,,,,,
245,357,Göreme NP,1985,Turkiye,4.47,,,,,
246,358,Divrigi,1985,Turkiye,3.04,,,,,
247,359,Thracian tomb of Sveshtari,1985,Bulgaria,2.99,,,,,
248,361,Evora,1986,Portugal,3.16,,,,,
249,362,Ghadames,1986,Libya,3.82,,,,,
250,364,Great Zimbabwe,1986,Zimbabwe,4.06,,,,,
251,365,Khami Ruins,1986,Zimbabwe,3.03,,,,,
252,366,Chan Chan,1986,Peru,3.61,,,,,
253,367,Trier,1986,Germany,3.47,,,,,
254,368,Gondwana Rainforests,1986,Australia,3.51,,,,,
255,369,Giant's Causeway,1986,United Kingdom,3.78,,,,,
256,370,Durham Castle and Cathedral,1986,United Kingdom,3.19,,,,,
257,371,Ironbridge Gorge,1986,United Kingdom,3.07,,,,,
258,372,Studley Royal Park,1986,United Kingdom,3.22,,,,,
259,373,Stonehenge,1986,United Kingdom,3.86,,,,,
260,374,Gwynedd Castles,1986,United Kingdom,3.42,,,,,
261,377,Hattusha,1986,Turkiye,3.72,,,,,
262,378,Mudejar Architecture of Aragon,1986,Spain,3.29,,,,,
263,379,Toledo,1986,Spain,4.01,,,,,
264,380,Garajonay,1986,Spain,3.39,,,,,
265,381,Salamanca,1988,Spain,3.67,,,,,
266,383,Seville,1987,Spain,4.04,,,,,
267,384,Caceres,1986,Spain,3.23,,,,,
268,385,Sana'a,1986,Yemen,4.2,,,,,
269,387,St. Kilda,1986,United Kingdom,3.8,,,,,
270,389,Studenica Monastery,1986,Serbia,3.18,,,,,
271,390,Skocjan Caves,1986,Slovenia,3.7,,,,,
272,392,Temple of Apollo Epicurius at Bassae,1986,Greece,3.1,,,,,
273,393,Archaeological Site of Delphi,1987,Greece,3.99,,,,,
274,394,Venice and its Lagoon,1987,Italy,4.59,,,,,
275,395,Piazza del Duomo (Pisa),1987,Italy,3.82,,,,,
276,398,Castel del Monte,1996,Italy,3.25,,,,,
277,400,Budapest,1987,Hungary,3.9,,,,,
278,401,Hollókö,1987,Hungary,2.66,,,,,
279,402,Manu National Park,1987,Peru,4.14,,,,,
280,403,Kilimanjaro National Park,1987,Tanzania,4.3,,,,,
281,404,Acropolis,1987,Greece,4.33,,,,,
282,405,Sinharaja Forest,1988,Sri Lanka,3,,,,,
283,407,Dja Faunal Reserve,1987,Cameroon,2.61,,,,,
284,409,Hawaii Volcanoes,1987,United States of America,4.23,,,,,
285,410,Sian Ka'an,1987,Mexico,2.91,,,,,
286,411,Palenque,1987,Mexico,4.29,,,,,
287,412,Mexico City and Xochimilco,1987,Mexico,3.85,,,,,
288,414,Teotihuacan,1987,Mexico,4.35,,,,,
289,415,Oaxaca and Monte Alban,1987,Mexico,3.87,,,,,
290,416,Puebla,1987,Mexico,3.48,,,,,
291,417,Ibiza,1999,Spain,2.84,,,,,
292,419,Gros Morne National Park,1987,Canada,4.21,,,,,
293,420,Potosi,1987,Bolivia,3.31,,,,,
294,421,Tongariro National Park,1990,New Zealand,3.85,,,,,
295,422,Lake District,2017,United Kingdom,3.67,,,,,
296,425,Blenheim Palace,1987,United Kingdom,3.16,,,,,
297,426,Westminster,1987,United Kingdom,3.67,,,,,
298,428,City of Bath,1987,United Kingdom,3.61,,,,,
299,429,New Lanark,2001,United Kingdom,2.77,,,,,
300,430,Frontiers of the Roman Empire,1987,United Kingdom,2.83,,,,,
301,433,Bahla Fort,1987,Oman,2.72,,,,,
302,434,"Bat, Al-Khutm and Al-Ayn",1988,Oman,2.92,,,,,
303,437,Mount Taishan,1987,China,3.94,,,,,
304,438,Great Wall,1987,China,4.51,,,,,
305,439,Imperial Palace,1987,China,4.27,,,,,
306,440,Mogao Caves,1987,China,4.21,,,,,
307,441,Mausoleum of the First Qin Emperor,1987,China,4.16,,,,,
308,442,Monticello,1987,United States of America,3.35,,,,,
309,444,Ksar of Aït Ben Haddou,1987,Morocco,3.62,,,,,
310,445,Brasilia,1987,Brazil,3.55,,,,,
311,447,Uluru,1987,Australia,4.57,,,,,
312,448,Nemrut Dag,1987,Turkiye,4.43,,,,,
313,449,Peking Man Site,1987,China,2.29,,,,,
314,450,Kandy,1988,Sri Lanka,3.07,,,,,
315,451,Old Town of Galle,1988,Sri Lanka,3.17,,,,,
22,452,Sundarbans National Park,1987,India,3.11,West Bengal,21.8844344939275,88.8861382433506,,
317,454,Mount Athos,1988,Greece,3.66,,,,,
318,455,Meteora,1988,Greece,4.4,,,,,
319,456,Thessalonika,1988,Greece,3.03,,,,,
320,460,Trinidad and the Valley de los Ingenios,1988,Cuba,3.64,,,,,
321,474,Hortobágy,1999,Hungary,2.29,,,,,
322,475,Manovo-Gounda St. Floris,1988,Central African Republic,0,,,,,
323,476,Chongoni Rock Art,2006,Malawi,1.57,,,,,
324,479,Luang Prabang,1995,Laos,3.72,,,,,
325,481,Vat Phou,2001,Laos,3.06,,,,,
326,482,Guanajuato,1988,Mexico,4.04,,,,,
327,483,Chichen-Itza,1988,Mexico,4.24,,,,,
328,484,Xanthos-Letoon,1988,Turkiye,2.82,,,,,
329,485,Hierapolis-Pamukkale,1988,Turkiye,4.14,,,,,
330,486,Wet Tropics of Queensland,1988,Australia,3.58,,,,,
331,487,Henderson Island,1988,United Kingdom,2.88,,,,,
332,488,Tower of London,1988,United Kingdom,3.41,,,,,
333,491,Epidaurus,1988,Greece,3.46,,,,,
334,492,Taos Pueblo,1992,United States of America,3.35,,,,,
335,493,Rhodes,1988,Greece,3.78,,,,,
336,494,Andrefana Dry Forests,1990,Madagascar,4.33,,,,,
337,495,Strasbourg,1988,France,3.52,,,,,
338,496,Canterbury,1988,United Kingdom,3.41,,,,,
339,498,Medina of Sousse,1988,Tunisia,2.95,,,,,
340,499,Kairouan,1988,Tunisia,3.15,,,,,
341,500,Lima,1988,Peru,2.9,,,,,
342,502,Vigan,1999,Philippines,3.24,,,,,
343,505,Monastery of Alcobaça,1989,Portugal,3.31,,,,,
344,506,Banc d'Arguin,1989,Mauritania,2.4,,,,,
345,509,Victoria Falls,1989,Zambia,4.68,,,,,
346,511,Mystras,1989,Greece,3.68,,,,,
347,514,Neolithic Orkney,1999,United Kingdom,3.97,,,,,
348,515,Abbey and Altenmünster of Lorsch,1991,Germany,2.34,,,,,
349,516,Cliff of Bandiagara,1989,Mali,3.8,,,,,
350,517,Olympia,1989,Greece,3.79,,,,,
351,518,Poblet Monastery,1991,Spain,3.1,,,,,
352,522,Úbeda and Baeza,2003,Spain,2.85,,,,,
23,524,Sanchi,1989,India,3.76,Madhya Pradesh,23.4804374343703,77.7413331434343,,
354,526,Santo Domingo,1990,Dominican Republic,3.32,,,,,
355,527,Kyiv Cathedral and Lavra,1990,Ukraine,3.63,,,,,
356,529,Jesuit Missions of the Chiquitos,1990,Bolivia,3.11,,,,,
357,530,Delos,1990,Greece,3.54,,,,,
358,532,Potsdam,1990,Germany,3.56,,,,,
359,534,Garden Kingdom of Dessau-Wörlitz,2000,Germany,2.51,,,,,
360,535,Quedlinburg,1994,Germany,3.32,,,,,
361,537,"Daphni, Hosios Loukas and Nea Moni of Chios",1990,Greece,3.09,,,,,
362,540,St. Petersburg,1990,Russia,4.44,,,,,
363,541,Vilnius,1994,Lithuania,3.44,,,,,
364,543,Itchan Kala,1990,Uzbekistan,3.96,,,,,
365,544,Kizhi Pogost,1990,Russia,3.94,,,,,
366,545,Kremlin and Red Square,1990,Russia,4.23,,,,,
367,546,Maulbronn Monastery,1993,Germany,3.23,,,,,
368,547,Huangshan,1990,China,4.07,,,,,
369,548,Rio Abiseo National Park,1990,Peru,3.3,,,,,
370,549,Royal Palace at Caserta,1997,Italy,3.27,,,,,
371,550,San Gimignano,1990,Italy,3.75,,,,,
372,551,Te Wahipounamu,1986,New Zealand,4.33,,,,,
373,554,Whale Sanctuary of El Vizcaino,1993,Mexico,3.98,,,,,
374,555,Birka and Hovgarden,1993,Sweden,2.3,,,,,
375,556,Engelsberg Ironworks,1993,Sweden,2.49,,,,,
376,557,Rock Carvings in Tanum,1994,Sweden,3.02,,,,,
377,558,Skogskyrkogarden,1994,Sweden,2.48,,,,,
378,559,Drottningholm,1991,Sweden,2.83,,,,,
379,560,Paquimé,1998,Mexico,2.98,,,,,
380,561,Rangiri Dambulla Cave Temple,1991,Sri Lanka,3.41,,,,,
381,564,Zamość,1992,Poland,3.1,,,,,
382,565,Kasbah of Algiers,1992,Algeria,2.65,,,,,
383,566,Sucre,1991,Bolivia,3.02,,,,,
384,567,Tiwanaku,2000,Bolivia,3.27,,,,,
385,569,Berat and Gjirokastra,2005,Albania,3.67,,,,,
386,570,Butrint,1992,Albania,3.49,,,,,
387,573,Air and Téneré,1991,Niger,3.57,,,,,
388,574,Sukhothai,1991,Thailand,3.79,,,,,
389,575,Ban Chiang,1992,Thailand,2.5,,,,,
390,576,Ayutthaya,1991,Thailand,3.59,,,,,
391,577,Heard and McDonald Islands,1997,Australia,3.5,,,,,
392,578,Shark Bay,1991,Australia,3.91,,,,,
393,579,Sammallahdenmäki,1999,Finland,2.22,,,,,
394,582,Old Rauma,1991,Finland,2.65,,,,,
395,583,Fortress of Suomenlinna,1991,Finland,2.82,,,,,
396,584,Petäjävesi Old Church,1994,Finland,3.02,,,,,
397,585,Morelia,1991,Mexico,2.91,,,,,
398,586,Rohtas Fort,1997,Pakistan,3.17,,,,,
399,588,Danube Delta,1991,Romania,3.39,,,,,
400,590,Dong Phayayen,2005,Thailand,3.04,,,,,
401,591,Thungyai-Huai Kha Khaeng,1991,Thailand,2.47,,,,,
402,592,Borobudur,1991,Indonesia,4.48,,,,,
403,593,Sangiran Early Man Site,1996,Indonesia,1.93,,,,,
404,595,Pythagoreion and Heraion of Samos,1992,Greece,2.52,,,,,
405,596,Villages with Fortified Churches,1993,Romania,3.55,,,,,
406,597,Monastery of Horezu,1993,Romania,3.17,,,,,
407,598,Churches of Moldavia,1993,Romania,4.06,,,,,
408,599,Island of Mozambique,1991,Mozambique,3.71,,,,,
409,600,"Paris, Banks of the Seine",1991,France,4.25,,,,,
410,601,Reims,1991,France,3.49,,,,,
411,602,Bukhara,1993,Uzbekistan,4.2,,,,,
412,603,Samarkand,2001,Uzbekistan,4.58,,,,,
413,604,Novgorod,1992,Russia,3.22,,,,,
414,606,Serra da Capivara,1991,Brazil,3.54,,,,,
415,608,Ujung Kulon National Park,1991,Indonesia,3.85,,,,,
416,609,Komodo National Park,1991,Indonesia,4.07,,,,,
417,611,Zabid,1993,Yemen,2.67,,,,,
