,Rank,Site Name,Nomination Year,Country,Rating,State,Latitude,Longitude,,
418,613,Ruins of León Viejo,2000,Nicaragua,2.5,,,,,
419,614,Safranbolu,1994,Turkiye,3.25,,,,,
420,616,Prague,1992,Czechia,4.33,,,,,
421,617,Cesky Krumlov,1992,Czechia,4.01,,,,,
422,618,Banska Stiavnica,1993,Slovakia,3.03,,,,,
423,620,Spissky Hrad and Levoca,1993,Slovakia,3.31,,,,,
424,621,Telc,1992,Czechia,3.21,,,,,
425,622,Vlkolinec,1993,Slovakia,2.85,,,,,
426,623,Rammelsberg and Goslar,1992,Germany,3.24,,,,,
427,624,Bamberg,1993,Germany,3.5,,,,,
428,625,Mir Castle,2000,Belarus,2.34,,,,,
429,629,Macquarie Island,1997,Australia,4.58,,,,,
430,630,Fraser Island,1992,Australia,4.22,,,,,
431,631,El Tajin,1992,Mexico,3.77,,,,,
432,632,Solovetsky Islands,1992,Russia,3.73,,,,,
433,633,White Monuments of Vladimir and Suzdal,1992,Russia,3.58,,,,,
434,634,"Church of the Ascension, Kolomenskoye",1994,Russia,2.44,,,,,
435,635,Bourges Cathedral,1992,France,3.6,,,,,
436,637,Jiuzhaigou Valley,1992,China,4.43,,,,,
437,638,Huanglong,1992,China,4.19,,,,,
438,640,Wulingyuan,1992,China,4.26,,,,,
439,642,Prambanan,1991,Indonesia,3.94,,,,,
440,648,Jesuit Missions of Trinidad and Jesus,1993,Paraguay,3.18,,,,,
441,652,Puerto-Princesa Subterranean River,1999,Philippines,3.42,,,,,
442,653,Tubbataha Reefs,1993,Philippines,3.14,,,,,
443,657,Trinity Sergius Lavra,1993,Russia,3.28,,,,,
444,658,Coro and its Port,1993,Venezuela,2.83,,,,,
445,659,Brú na Bóinne,1993,Ireland,3.76,,,,,
446,660,Horyu-ji Area,1993,Japan,3.39,,,,,
447,661,Himeji-jo,1993,Japan,3.62,,,,,
448,662,Yakushima,1993,Japan,4.13,,,,,
449,663,Shirakami-Sanchi,1993,Japan,3.41,,,,,
450,664,Mérida,1993,Spain,3.34,,,,,
451,665,Santa Maria de Guadalupe,1993,Spain,3.05,,,,,
452,666,Lumbini,1997,Nepal,2.7,,,,,
453,668,Angkor,1992,Cambodia,4.84,,,,,
454,669,Route of Santiago de Compostela,1993,Spain,3.48,,,,,
455,670,Matera,1993,Italy,3.94,,,,,
456,672,Ha Long Bay – Cat Ba Archipelago,1994,Viet Nam,4.07,,,,,
457,675,Joya de Ceren,1993,El Salvador,2.97,,,,,
458,676,Zacatecas,1993,Mexico,3.27,,,,,
459,677,Baroque Churches,1993,Philippines,2.87,,,,,
460,678,Hué,1993,Viet Nam,3.39,,,,,
461,682,Bwindi Impenetrable National Park,1994,Uganda,4.38,,,,,
462,684,Rwenzori Mountains,1994,Uganda,3.67,,,,,
463,685,Donana National Park,1994,Spain,2.87,,,,,
464,686,Miguasha National Park,1999,Canada,2.6,,,,,
465,687,Völklingen Ironworks,1994,Germany,3.16,,,,,
466,688,Ancient Kyoto,1994,Japan,4.55,,,,,
467,689,As-Salt,2021,Jordan,2.06,,,,,
468,690,Pilgrimage Church of St. John of Nepomuk,1994,Czechia,2.86,,,,,
469,692,Odzala-Kokoua,2023,Congo (Republic),0,,,,,
470,695,Roskilde Cathedral,1995,Denmark,2.83,,,,,
471,696,Kronborg Castle,2000,Denmark,3.01,,,,,
472,697,Jelling,1994,Denmark,2.43,,,,,
473,698,Australian Fossil Mammal Sites,1994,Australia,3,,,,,
474,699,City of Luxembourg,1994,Luxembourg,3.14,,,,,
475,700,Nasca Lines,1994,Peru,4.02,,,,,
476,701,Canaima National Park,1994,Venezuela,4.07,,,,,
477,702,Popocatepetl monasteries,1994,Mexico,2.78,,,,,
478,703,"Mountain Resort, Chengde",1994,China,3.75,,,,,
479,704,"Temple, Mansion and Cemetery of Confucius",1994,China,3.57,,,,,
480,705,Wudang Mountains,1994,China,3.73,,,,,
481,707,Potala Palace,1994,China,4.37,,,,,
482,708,Mtskheta,1994,Georgia,3.3,,,,,
483,709,Upper Svaneti,1996,Georgia,4.14,,,,,
484,710,Gelati Monastery,1994,Georgia,3.36,,,,,
485,711,Los Katios National Park,1994,Colombia,3.93,,,,,
486,712,Vicenza and the Palladian Villas,1994,Italy,3.33,,,,,
487,714,Rock Paintings of the Sierra de San Francisco,1993,Mexico,3.08,,,,,
488,715,Rapa Nui,1995,Chile,4.84,,,,,
489,717,Siena,1995,Italy,4.13,,,,,
490,718,Okapi Wildlife Reserve,1996,Congo (Democratic Republic),0,,,,,
491,719,Virgin Komi Forests,1995,Russia,2.89,,,,,
492,720,Messel Pit,1995,Germany,2.18,,,,,
493,721,Carlsbad Caverns,1995,United States of America,3.51,,,,,
494,722,Rice Terraces of the Philippine Cordilleras,1995,Philippines,4.02,,,,,
495,723,Sintra,1995,Portugal,3.91,,,,,
496,724,Medieval Monuments in Kosovo,2004,Serbia,3.19,,,,,
497,725,Aggtelek and Slovak Karst,1995,Hungary,3.15,,,,,
498,726,Naples,1995,Italy,3.47,,,,,
499,728,Edinburgh,1995,United Kingdom,4.05,,,,,
500,729,Bauhaus Sites,1996,Germany,2.84,,,,,
501,730,Crespi d'Adda,1995,Italy,2.33,,,,,
502,731,Visby,1995,Sweden,3.53,,,,,
503,732,Kutna Hora,1995,Czechia,3.33,,,,,
504,733,Ferrara,1995,Italy,3.26,,,,,
505,734,Shirakawa-go and Gokayama,1995,Japan,3.77,,,,,
506,736,Seokguram Grotto and Bulguksa Temple,1995,Republic of Korea,3.36,,,,,
507,737,Haeinsa Temple,1995,Republic of Korea,3.67,,,,,
508,738,Jongmyo Shrine,1995,Republic of Korea,2.66,,,,,
509,739,Schokland,1995,Netherlands,1.85,,,,,
510,740,Gough and Inaccessible Islands,1995,United Kingdom,2.9,,,,,
511,741,Old Town Lunenburg,1995,Canada,3.26,,,,,
512,742,Santa Cruz de Mompox,1995,Colombia,3.05,,,,,
513,743,Tierradentro,1995,Colombia,3.32,,,,,
514,744,San Agustín,1995,Colombia,3.47,,,,,
515,747,Colonia del Sacramento,1995,Uruguay,2.77,,,,,
516,749,W-Arly-Pendjari Complex,1996,Niger,2.21,,,,,
517,750,Ancient ksours,1996,Mauritania,3.42,,,,,
518,751,Verla Groundwood and Board Mill,1996,Finland,2.6,,,,,
519,753,Medina of Essaouira,2001,Morocco,3.26,,,,,
520,754,Lake Baikal,1996,Russia,3.84,,,,,
521,755,Oporto,1996,Portugal,3.91,,,,,
522,757,Sceilg Mhichíl,1996,Ireland,4,,,,,
523,758,Pannonhalma,1996,Hungary,2.69,,,,,
524,759,Dutch Water Defence Lines,1996,Netherlands,2.44,,,,,
525,761,Kunta Kinteh Island,2003,Gambia,2.34,,,,,
526,762,Gammelstad,1996,Sweden,3.06,,,,,
527,763,Lednice-Valtice Cultural Landscape,1996,Czechia,2.89,,,,,
528,764,Belize Barrier Reef,1996,Belize,3.62,,,,,
529,765,Volcanoes of Kamchatka,1996,Russia,4.71,,,,,
530,766,Central Sikhote-Alin,2001,Russia,3.39,,,,,
531,768,Golden Mountains of Altai,1998,Russia,3.67,,,,,
532,769,Uvs Nuur Basin,2003,Russia,2.91,,,,,
533,770,Canal du Midi,1996,France,2.64,,,,,
534,772,Fertö/Neusiedlersee,2001,Austria,2.33,,,,,
535,773,Pyrénées - Mont Perdu,1997,Spain,3.69,,,,,
536,774,Laponian Area,1996,Sweden,3.52,,,,,
537,775,Genbaku Dome,1996,Japan,3.26,,,,,
538,776,Itsukushima Shrine,1996,Japan,3.71,,,,,
539,777,Haghpat and Sanahin,1996,Armenia,3.66,,,,,
540,778,Lushan National Park,1996,China,3.07,,,,,
541,779,"Mount Emei, including Leshan Giant Buddha",1996,China,3.94,,,,,
542,780,Archaeological Site of Aigai,1996,Greece,3.55,,,,,
543,781,Cuenca,1996,Spain,3.22,,,,,
544,782,La Lonja de la Seda,1996,Spain,2.77,,,,,
545,783,Luther Memorials,1996,Germany,2.6,,,,,
546,784,Salzburg,1996,Austria,3.8,,,,,
547,785,Semmering Railway,1998,Austria,2.55,,,,,
548,786,Schönbrunn,1996,Austria,3.51,,,,,
549,787,The trulli of Alberobello,1996,Italy,3.44,,,,,
550,788,Ravenna,1996,Italy,4.2,,,,,
551,789,Pienza,1996,Italy,3.11,,,,,
552,790,Panamá,1997,Panama,3.02,,,,,
553,791,Uxmal,1996,Mexico,4.08,,,,,
554,792,Querétaro,1996,Mexico,3.03,,,,,
555,793,Meknes,1996,Morocco,3.05,,,,,
556,794,Dougga/Thugga,1997,Tunisia,3.94,,,,,
557,795,Maritime Greenwich,1997,United Kingdom,3.12,,,,,
558,797,Verona,2000,Italy,3.55,,,,,
559,798,The Sundarbans,1997,Bangladesh,3.08,,,,,
560,800,Mount Kenya,1997,Kenya,3.16,,,,,
561,801,Lake Turkana,1997,Kenya,3.01,,,,,
562,803,Las Medulas,1997,Spain,3.4,,,,,
563,804,Palau de la Musica Catalana & Hospital de Sant Pau,1997,Spain,3.54,,,,,
564,805,Yuso and Suso Monasteries,1997,Spain,3.1,,,,,
565,806,Hallstatt-Dachstein,1997,Austria,3.67,,,,,
566,809,Euphrasian Basilica in Porec,1997,Croatia,3.07,,,,,
567,810,Trogir,1997,Croatia,3,,,,,
568,811,Old Town of Lijiang,1997,China,3.62,,,,,
569,812,Ping Yao,1997,China,3.66,,,,,
570,813,Classical Gardens of Suzhou,1997,China,3.77,,,,,
571,814,Morne Trois Pitons,1997,Dominica,3.34,,,,,
572,815,Hospicio Cabañas,1997,Mexico,2.59,,,,,
573,816,Changdeokgung Palace Complex,1997,Republic of Korea,3.25,,,,,
574,817,Hwaseong Fortress,1997,Republic of Korea,3.03,,,,,
575,818,Kinderdijk,1997,Netherlands,3.52,,,,,
576,819,Willemstad,1997,Netherlands,3.18,,,,,
577,820,Cocos Island,1997,Costa Rica,4.26,,,,,
578,821,São Luis,1997,Brazil,2.98,,,,,
579,822,Tallinn,1997,Estonia,3.73,,,,,
580,823,Residences of the Royal House of Savoy,1997,Italy,3.04,,,,,
581,824,"Botanical Garden, Padua",1997,Italy,2.7,,,,,
582,825,Aquileia,1998,Italy,3.28,,,,,
583,826,"Portovenere, Cinque Terre, and the Islands",1997,Italy,4.02,,,,,
584,827,Modena,1997,Italy,3,,,,,
585,828,Urbino,1998,Italy,3.38,,,,,
586,829,Pompei,1997,Italy,4.46,,,,,
587,830,Costiera Amalfitana,1997,Italy,3.97,,,,,
588,831,Agrigento,1997,Italy,3.88,,,,,
589,832,Villa Romana del Casale,1997,Italy,3.91,,,,,
590,833,Su Nuraxi di Barumini,1997,Italy,3.37,,,,,
591,835,Torun,1997,Poland,3.33,,,,,
592,836,Volubilis,1997,Morocco,3.51,,,,,
593,837,Medina of Tétouan,1997,Morocco,3.05,,,,,
594,839,Alejandro de Humboldt National Park,2001,Cuba,3.48,,,,,
595,840,Viñales Valley,1999,Cuba,3.26,,,,,
596,841,San Pedro de la Roca Castle,1997,Cuba,2.97,,,,,
597,842,Cilento and Vallo di Diano,1998,Italy,3.48,,,,,
598,846,Classical Weimar,1998,Germany,3.05,,,,,
599,847,Malbork Castle,1997,Poland,3.69,,,,,
600,848,Choirokoitia,1998,Cyprus,2.57,,,,,
601,849,Troy,1998,Turkiye,2.96,,,,,
602,850,Qadisha Valley,1998,Lebanon,3.51,,,,,
603,852,Riga,1997,Latvia,3.54,,,,,
604,853,Early Christian Necropolis of Pécs,2000,Hungary,2.8,,,,,
605,854,East Rennell,1998,Solomon Islands,3.57,,,,,
606,855,Flemish Béguinages,1998,Belgium,2.78,,,,,
607,856,The Four Lifts,1998,Belgium,2.99,,,,,
608,857,"Grand Place, Brussels",1998,Belgium,3.53,,,,,
609,859,Holy Trinity Column,2000,Czechia,2.52,,,,,
610,860,Gardens and Castle at Kromeríz,1998,Czechia,2.76,,,,,
611,861,Holasovice,1998,Czechia,2.14,,,,,
612,862,Tlacotalpan,1998,Mexico,2.61,,,,,
613,863,Santa Ana de los Rios de Cuenca,1999,Ecuador,3.16,,,,,
614,865,L'viv,1998,Ukraine,3.68,,,,,
615,866,Coa Valley and Siega Verde,1998,Portugal,3.03,,,,,
616,867,Ir. D.F. Woudagemaal,1998,Netherlands,2.64,,,,,
617,868,Routes of Santiago de Compostela in France,1998,France,2.87,,,,,
618,870,Ancient Nara,1998,Japan,4,,,,,
619,871,Karlskrona,1998,Sweden,2.17,,,,,
620,872,Lyon,1998,France,3.38,,,,,
621,873,Provins,2001,France,2.98,,,,,
622,874,Rock Art of the Mediterranean Basin,1998,Spain,2.14,,,,,
623,875,Tarraco,2000,Spain,2.94,,,,,
624,876,Alcala de Henares,1998,Spain,2.61,,,,,
625,877,Sub-Antarctic Islands,1998,New Zealand,4.57,,,,,
626,880,Summer Palace,1998,China,3.93,,,,,
627,881,Temple of Heaven,1998,China,3.8,,,,,
628,883,El Fuerte de Samaipata,1998,Bolivia,3.27,,,,,
629,884,Bellinzone,2000,Switzerland,3.16,,,,,
630,885,Shakhrisyabz,2000,Uzbekistan,2.74,,,,,
631,886,Ancient Merv,1999,Turkmenistan,3.11,,,,,
632,887,Kuk,2008,Papua New Guinea,0.87,,,,,
633,889,Desembarco del Granma National Park,1999,Cuba,3.18,,,,,
634,890,Diamantina,1999,Brazil,2.98,,,,,
635,892,Discovery Coast,1999,Brazil,2.29,,,,,
636,893,Atlantic Forest South-East,1999,Brazil,3.18,,,,,
637,895,Campeche,1999,Mexico,2.75,,,,,
638,896,Museumsinsel (Museum Island),1999,Germany,3.47,,,,,
639,897,Wartburg Castle,1999,Germany,3.22,,,,,
640,898,High Coast / Kvarken Archipelago,2000,Finland,2.85,,,,,
641,899,Beemster Polder,1999,Netherlands,1.95,,,,,
642,900,Western Caucasus,1999,Russia,3.58,,,,,
643,901,Litomysl Castle,1999,Czechia,2.86,,,,,
644,902,Sighisoara,1999,Romania,3.35,,,,,
645,904,Wooden Churches of Maramures,1999,Romania,3.61,,,,,
646,905,Kalwaria Zebrzydowska,1999,Poland,2.52,,,,,
647,906,Dacian Fortresses,1999,Romania,2.96,,,,,
648,907,Villa Adriana (Tivoli),1999,Italy,3.43,,,,,
649,908,Isole Eolie,2000,Italy,3.76,,,,,
650,910,Brimstone Hill Fortress,1999,Saint Kitts and Nevis,3.02,,,,,
651,911,Mount Wuyi,1999,China,3.59,,,,,
652,912,Dazu Rock Carvings,1999,China,3.94,,,,,
653,913,Nikko,1999,Japan,3.83,,,,,
654,914,iSimangaliso Wetland Park,1999,South Africa,3.61,,,,,
655,915,Fossil Hominid Sites,1999,South Africa,2.51,,,,,
656,916,Robben Island,1999,South Africa,2.77,,,,,
657,917,Greater Blue Mountains,2000,Australia,3.17,,,,,
24,922,Rani-ki-Vav,2014,India,3.82,Gujarat,23.8597086148111,72.1037353895935,,
25,925,Rock Shelters of Bhimbetka,2003,India,3.09,Madhya Pradesh,22.9405338005242,77.6157804416177,,
660,928,Guanacaste,1999,Costa Rica,3.34,,,,,
661,929,San Cristobal de La Laguna,1999,Spain,2.68,,,,,
662,930,Palmeral of Elche,2000,Spain,2.51,,,,,
663,931,Graz,1999,Austria,2.97,,,,,
664,932,Saint-Emilion,1999,France,3.07,,,,,
665,933,Loire Valley,2000,France,4.15,,,,,
666,934,Laurisilva of Madeira,1999,Portugal,3.45,,,,,
667,936,Cueva de las Manos,1999,Argentina,3.82,,,,,
668,937,Peninsula Valdes,1999,Argentina,3.85,,,,,
669,938,Sukur,1999,Nigeria,0,,,,,
670,939,Xochicalco,1999,Mexico,3.54,,,,,
671,940,Paramaribo,2002,Suriname,2.62,,,,,
672,941,Mycenae and Tiryns,1999,Greece,3.67,,,,,
673,942,Island of Patmos,1999,Greece,3.4,,,,,
674,943,Belfries,1999,Belgium,2.97,,,,,
26,944,Mountain Railways of India,1999,India,3.68,India,11.3297564789882,76.7964790712204,,
27,945,Chhatrapati Shivaji Terminus,2004,India,3.09,Maharashtra,18.9409652422741,72.8369222732847,,
677,946,Mostar,2005,Bosnia Herzegovina,3.54,,,,,
678,948,Hoi An,1999,Viet Nam,3.62,,,,,
679,949,My Son,1999,Viet Nam,3.06,,,,,
680,950,Ambohimanga,2001,Madagascar,2.82,,,,,
681,951,Phong Nha - Ke Bang,2003,Viet Nam,3.69,,,,,
682,954,Saint Catherine Area,2002,Egypt,3.65,,,,,
683,955,Lorentz National Park,1999,Indonesia,3.8,,,,,
684,956,Island of Saint-Louis,2000,Senegal,2.28,,,,,
685,958,Walled City of Baku,2000,Azerbaijan,3.06,,,,,
686,959,Valparaiso,2003,Chile,3.32,,,,,
687,960,Monastery of Geghard,2000,Armenia,3.61,,,,,
688,963,Cathedral of St. James in Sibenik,2000,Croatia,2.81,,,,,
689,965,Rietveld Schröderhuis,2000,Netherlands,3.21,,,,,
690,966,Ischigualasto / Talampaya,2000,Argentina,3.8,,,,,
691,967,Noel Kempff Mercado National Park,2000,Bolivia,3.34,,,,,
692,968,Southern Öland,2000,Sweden,2.57,,,,,
693,970,Wachau Cultural Landscape,2000,Austria,3.59,,,,,
694,971,Churches of Chiloé,2000,Chile,3.38,,,,,
695,972,Gusuku of Ryukyu,2000,Japan,3.03,,,,,
696,973,Bardejov Town,2000,Slovakia,2.91,,,,,
697,974,Reichenau,2000,Germany,2.6,,,,,
698,975,Zollverein,2001,Germany,2.99,,,,,
699,976,Gyeongju,2000,Republic of Korea,3.32,,,,,
700,977,"Gochang, Hwasun, and Ganghwa Dolmen",2000,Republic of Korea,2.28,,,,,
701,978,Corfu,2007,Greece,3.1,,,,,
702,980,Kazan Kremlin,2000,Russia,3,,,,,
703,981,Bolgar,2014,Russia,2.52,,,,,
704,982,Ferapontov Monastery,2000,Russia,3.24,,,,,
705,983,"St. George, Bermuda",2000,United Kingdom,2.76,,,,,
706,984,Blaenavon Industrial Landscape,2000,United Kingdom,2.66,,,,,
707,985,Maloti-Drakensberg Park,2000,Lesotho,3.53,,,,,
708,986,Ciudad Universitaria de Caracas,2000,Venezuela,2.61,,,,,
709,987,Roman Walls of Lugo,2000,Spain,2.91,,,,,
710,988,Vall de Boi,2000,Spain,3.46,,,,,
711,989,Atapuerca,2000,Spain,2.33,,,,,
712,990,Assisi,2000,Italy,3.91,,,,,
713,993,Goias,2001,Brazil,2.55,,,,,
714,994,Curonian Spit,2000,Russia,3.39,,,,,
715,995,Jesuit Block and Estancias of Córdoba,2000,Argentina,2.66,,,,,
716,996,Brugge,2000,Belgium,4.02,,,,,
717,998,Central Amazon Conservation Complex,2000,Brazil,3.77,,,,,
718,999,Pantanal,2000,Brazil,4.09,,,,,
719,1000,Brazilian Atlantic Islands,2001,Brazil,3.51,,,,,
720,1001,Mount Qingcheng and Dujiangyan,2000,China,3.52,,,,,
721,1002,Xidi and Hongcun,2000,China,3.65,,,,,
722,1003,Longmen Grottoes,2000,China,4,,,,,
723,1004,Imperial Tombs,2000,China,3.29,,,,,
724,1005,Major Town Houses,2000,Belgium,2.9,,,,,
725,1006,Neolithic Flint Mines at Spiennes,2000,Belgium,2.42,,,,,
726,1007,Cape Floral Region,2004,South Africa,3.54,,,,,
727,1008,First Coffee Plantations,2000,Cuba,2.68,,,,,
728,1009,Notre-Dame Cathedral in Tournai,2000,Belgium,2.69,,,,,
729,1010,Land of Frankincense,2000,Oman,2.99,,,,,
730,1011,Echmiatsin and Zvartnots,2000,Armenia,3.18,,,,,
731,1012,Kinabalu Park,2000,Malaysia,3.45,,,,,
732,1013,Gunung Mulu,2000,Malaysia,4.4,,,,,
733,1014,Niah Caves,2024,Malaysia,2.88,,,,,
734,1016,Arequipa,2000,Peru,3.39,,,,,
735,1017,Central Suriname Nature Reserve,2000,Suriname,2.89,,,,,
736,1018,Ephesus,2015,Turkiye,4.22,,,,,
737,1021,Tsodilo,2001,Botswana,3.23,,,,,
738,1022,Tombs of Buganda Kings,2001,Uganda,2.14,,,,,
739,1023,Wrangel Island,2004,Russia,2.88,,,,,
740,1024,Val di Noto,2002,Italy,3.41,,,,,
741,1025,Villa d'Este,2001,Italy,3.37,,,,,
742,1026,Val d'Orcia,2004,Italy,3.26,,,,,
743,1027,Falun Great Copper Mountain,2001,Sweden,2.96,,,,,
744,1028,Saltaire,2001,United Kingdom,2.25,,,,,
745,1029,Dorset and East Devon Coast,2001,United Kingdom,3.38,,,,,
746,1030,Derwent Valley Mills,2001,United Kingdom,2.42,,,,,
747,1031,Guimarães,2001,Portugal,3.09,,,,,
748,1033,Vienna,2001,Austria,4.08,,,,,
749,1035,Cerrado Protected Areas,2001,Brazil,3.51,,,,,
750,1037,Swiss Alps Jungfrau-Aletsch,2001,Switzerland,4.12,,,,,
751,1039,Yungang Grottoes,2001,China,4.17,,,,,
752,1040,Masada,2001,Israel,3.94,,,,,
753,1042,Old City of Acre,2001,Israel,3.38,,,,,
754,1044,Aranjuez,2001,Spain,2.66,,,,,
755,1046,Alto Douro,2001,Portugal,3.35,,,,,
756,1052,Tugendhat Villa,2001,Czechia,2.97,,,,,
757,1053,Wooden Churches of Southern Malopolska,2003,Poland,3.27,,,,,
758,1054,Churches of Peace,2001,Poland,3.51,,,,,
759,1055,Lamu Old Town,2001,Kenya,3.45,,,,,
28,1056,Mahabodhi Temple Complex,2002,India,3.25,Bihar,24.6970135699773,84.9928354518066,,
761,1058,Mazagan,2004,Morocco,2.54,,,,,
762,1060,Kenya Lake System,2011,Kenya,3.48,,,,,
763,1061,Calakmul,2002,Mexico,4.25,,,,,
764,1063,Tokaji Wine Region,2002,Hungary,2.53,,,,,
765,1066,Upper Middle Rhine Valley,2002,Germany,3.67,,,,,
766,1067,Stralsund and Wismar,2002,Germany,2.84,,,,,
767,1068,Sacri Monti of Piedmont and Lombardy,2003,Italy,2.97,,,,,
768,1070,Derbent,2003,Russia,3.28,,,,,
769,1073,Gebel Barkal,2003,Sudan,3.5,,,,,
770,1076,Gobustan Rock Art,2007,Azerbaijan,2.82,,,,,
771,1077,Takht-e Soleyman,2003,Iran,3.44,,,,,
772,1078,Trebic,2003,Czechia,2.65,,,,,
773,1079,Franciscan Missions in the Sierra Gorda,2003,Mexico,3.14,,,,,
774,1081,Orkhon Valley,2004,Mongolia,2.77,,,,,
775,1083,Three parallel rivers of Yunnan,2003,China,3.6,,,,,
776,1084,Kew Gardens,2003,United Kingdom,3.33,,,,,
777,1087,"Town Hall and Roland, Bremen",2004,Germany,2.77,,,,,
778,1090,Monte San Giorgio,2003,Italy,2.29,,,,,
779,1091,Koguryo Tombs,2004,Korea (DPR),3.1,,,,,
780,1093,Um er-Rasas,2004,Jordan,2.81,,,,,
781,1094,Purnululu National Park,2003,Australia,4.17,,,,,
782,1096,White City of Tel-Aviv,2003,Israel,2.45,,,,,
783,1097,Novodevichy Convent,2004,Russia,2.89,,,,,
784,1099,Mapungubwe,2003,South Africa,3.28,,,,,
785,1100,Rio de Janeiro,2012,Brazil,3.77,,,,,
29,1101,Champaner-Pavagadh,2004,India,2.97,Gujarat,22.4862254990731,73.5384460743328,,
787,1102,Saryarka,2008,Kazakhstan,2.24,,,,,
788,1103,Mausoleum of Khoja Ahmed Yasawi,2003,Kazakhstan,3.53,,,,,
789,1106,Pasargadae,2004,Iran,2.71,,,,,
790,1107,Incense Route of the Negev,2005,Israel,3.14,,,,,
791,1108,Biblical Tells,2005,Israel,3.19,,,,,
792,1110,Macao,2005,China,3.19,,,,,
793,1111,Hani Rice Terraces,2013,China,3.91,,,,,
794,1112,Kaiping Diaolou,2007,China,3.37,,,,,
795,1113,Fujian Tulou,2008,China,3.84,,,,,
796,1114,Yin Xu,2006,China,3.42,,,,,
797,1115,Lagoons of New Caledonia,2008,France,3.88,,,,,
798,1116,Quebrada de Humahuaca,2003,Argentina,3.42,,,,,
799,1117,Pico Island,2004,Portugal,3.59,,,,,
800,1118,Osun-Osogbo,2005,Nigeria,2.62,,,,,
801,1121,Coffee Cultural Landscape,2011,Colombia,3.1,,,,,
802,1127,Muskauer Park,2004,Germany,2.65,,,,,
803,1130,Ashur,2003,Iraq,2.93,,,,,
804,1131,Royal Exhibition Building,2004,Australia,2.24,,,,,
805,1133,Primeval Beech Forests,2007,Slovakia,2.69,,,,,
806,1134,Grimeton Radio Station,2004,Sweden,2.63,,,,,
807,1135,Koguryo Kingdom,2004,China,3.11,,,,,
808,1136,Luis Barragán House and Studio,2004,Mexico,2.93,,,,,
809,1137,Kernavė,2004,Lithuania,2.32,,,,,
810,1138,Coiba National Park,2005,Panama,3.26,,,,,
811,1139,Tomb of Askia,2004,Mali,2.52,,,,,
812,1140,Koutammakou,2004,Togo,3.13,,,,,
813,1141,Sarazm,2010,Tajikistan,2.06,,,,,
814,1142,Kii Mountain Range,2004,Japan,3.72,,,,,
815,1143,Vegaøyan,2004,Norway,2.69,,,,,
816,1145,Tanbaly,2004,Kazakhstan,3.41,,,,,
817,1147,Lopé-Okanda,2007,Gabon,2.22,,,,,
818,1149,Ilulissat Icefjord,2004,Denmark,4.52,,,,,
819,1152,Thingvellir,2004,Iceland,3.52,,,,,
820,1153,Causses and Cévennes,2011,France,3.28,,,,,
821,1155,Regensburg,2006,Germany,3,,,,,
822,1158,Etruscan Necropolises,2004,Italy,3.65,,,,,
823,1160,Madriu-Perafita-Claror Valley,2004,Andorra,2.73,,,,,
824,1161,Pitons Management Area,2004,Saint Lucia,3.06,,,,,
825,1162,Vredefort Dome,2005,South Africa,2.23,,,,,
826,1165,Centennial Hall,2006,Poland,2.44,,,,,
827,1167,Tropical Rainforest Sumatra,2004,Indonesia,3.91,,,,,
828,1170,Yaroslavl,2005,Russia,2.88,,,,,
829,1174,Chiribiquete National Park,2018,Colombia,3.05,,,,,
830,1178,Humberstone and Santa Laura Saltpeter Works,2005,Chile,3.46,,,,,
831,1179,Swiss Tectonic Arena Sardona,2008,Switzerland,3,,,,,
832,1181,Le Havre,2005,France,2.75,,,,,
833,1182,Gulf of California,2005,Mexico,3.74,,,,,
834,1183,Kondoa,2006,Tanzania,2.72,,,,,
835,1185,Plantin-Moretus Museum,2005,Belgium,3.36,,,,,
